id,title,description,prep_time,cook_time,servings,instructions,diets
20,Smoothie zielone,Odżywczy koktajl ze szpinakiem,5,0,1,"1. Zmiksuj szpinak z bananem\n2. Dodaj mleko roślinne","wegańska,wegetariańska"
21,Frittata z ziemniakami,Włoski omlet z ziemniakami,15,25,4,"1. Ugotuj ziemniaki\n2. Roztrzep jajka\n3. Piecz w piekarniku","wegetariańska"
22,Burgery z czarnej fasoli,Wegetariańskie burgery,20,10,4,"1. Zmiksuj fasolę\n2. Uformuj burgery\n3. Usmaż na patelni","wegańska,wegetariańska"
23,Zupa krem z brokułów,Kremowa zupa z brokułów,15,20,4,"1. Ugotuj brokuły\n2. Zblenduj na krem\n3. Dopraw","wegetariańska,wegańska"
24,Tikka Masala,Kurczak w sosie pomidorowym,20,30,4,"1. Marynuj kurczaka\n2. Usmaż\n3. Dodaj sos",""
25,Sernik na zimno,Sernik bez pieczenia z owocami,30,0,8,"1. Przygotuj spód\n2. Wymieszaj ser z śmietanką\n3. Udekoruj owocami","wegetariańska"
26,Ratatouille,Provencalskie danie warzywne,30,60,6,"1. Pokrój warzywa\n2. Ułóż w naczyniu\n3. Piecz 180°C","wegańska,wegetariańska"
27,Kasza jaglana z warzywami,Pożywna kasza z warzywami,10,25,4,"1. Ugotuj kaszę\n2. Podduś warzywa\n3. Wymieszaj","wegańska,wegetariańska,bezglutenowa"
28,Minestrone,Włoska zupa warzywna,20,40,6,"1. Podsmaż warzywa\n2. Dodaj bulion\n3. Gotuj z makaronem","wegetariańska"
29,Babeczki jagodowe,Muffiny z jagodami,15,25,12,"1. Przygotuj ciasto\n2. Dodaj jagody\n3. Piecz","wegetariańska"
30,Strogonow wołowy,Klasyczny strogonow w sosie śmietanowym,20,40,4,"1. Obsmaż mięso\n2. Dodaj grzyby\n3. Zalej śmietaną","wysokobialkowa"
31,Guacamole,Meksykański dip z awokado,10,0,4,"1. Rozgnieć awokado\n2. Dodaj składniki\n3. Wymieszaj","wegańska,wegetariańska"
32,Fajitas z kurczakiem,Meksykańskie fajitas,20,15,4,"1. Marynuj kurczaka\n2. Usmaż z warzywami\n3. Podawaj w tortilli",""
33,Budda bowl,Kolorowa miska z warzywami i ziarnami,20,0,2,"1. Ugotuj ziarna\n2. Pokrój warzywa\n3. Ułóż w misce","wegańska,wegetariańska"
34,Zupa ogórkowa,Z kwaśnymi ogórkami,20,40,6,"1. Podsmaż warzywa\n2. Dodaj bulion i ogórki\n3. Gotuj 30 min","wegetariańska"
35,Chleb bananowy,Wilgotne ciasto bananowe,15,60,8,"1. Rozgnieć banany\n2. Wymieszaj składniki\n3. Piecz","wegetariańska"
36,Krewetki czosnkowe,Krewetki na maśle czosnkowym,10,10,2,"1. Roztop masło\n2. Dodaj czosnek\n3. Smaż krewetki","wysokobialkowa,bezglutenowa"
37,Kasotto szafranowe,Risotto z szafranem,20,25,3,"1. Podsmaż ryż\n2. Stopniowo dolewaj bulion\n3. Dodaj szafran","wegetariańska"
38,Ciasteczka owsiane,Z płatków owsianych i bakalii,15,15,24,"1. Wymieszaj składniki\n2. Formuj ciasteczka\n3. Piecz","wegetariańska"
39,Szakszuka z cukinią,Wersja z dodatkiem cukinii,15,25,3,"1. Przygotuj sos warzywny\n2. Zrób wgłębienia\n3. Wbij jajka","wegetariańska"
40,Pierogi ruskie,Tradycyjne pierogi z ziemniakami i serem,60,10,6,"1. Przygotuj farsz\n2. Zrób ciasto\n3. Formuj pierogi","wegetariańska"
41,Kalafiorowa zupa krem,Krem z pieczonego kalafiora,15,30,4,"1. Ugotuj kalafior\n2. Zblenduj\n3. Dopraw","wegańska,wegetariańska"
42,Tortilla hiszpańska,Omlet ziemniaczany,20,30,4,"1. Ugotuj ziemniaki\n2. Roztrzep jajka\n3. Piecz na patelni","wegetariańska"
43,Kotlety z soczewicy,Wegetariańskie kotlety,25,20,4,"1. Ugotuj soczewicę\n2. Zmiksuj z warzywami\n3. Formuj i smaż","wegańska,wegetariańska"
44,Zupa miso,Japońska zupa z tofu,10,15,4,"1. Zagotuj wodę\n2. Dodaj pastę miso\n3. Dorzuć tofu i wodorosty","wegańska,wegetariańska"
45,Muffiny czekoladowe,Z kawałkami czekolady,15,20,12,"1. Przygotuj ciasto\n2. Dodaj czekoladę\n3. Piecz","wegetariańska"
46,Sałatka z kozim serem,Z rukolą i orzechami,15,0,2,"1. Wymieszaj rukolę z serem\n2. Posyp orzechami\n3. Polej dressingiem","wegetariańska"
47,Kurczak w sosie pieczarkowym,Kurczak z sosem śmietanowo-pieczarkowym,15,25,4,"1. Obsmaż kurczaka\n2. Dodaj pieczarki\n3. Zalej śmietaną","wysokobialkowa"
48,Chia pudding,Pudding z nasion chia,5,0,2,"1. Wymieszaj nasiona z mlekiem\n2. Odstaw na noc","wegańska,wegetariańska"
49,Falafel,Kotleciki z ciecierzycy,30,15,4,"1. Zmiksuj ciecierzycę\n2. Formuj kulki\n3. Smaż","wegańska,wegetariańska"
50,Racuchy z jabłkami,Placki drożdżowe z jabłkami,20,20,4,"1. Przygotuj ciasto\n2. Dodaj jabłka\n3. Smaż","wegetariańska"
51,Zupa krem z dyni,Z dodatkiem imbiru,15,25,4,"1. Ugotuj dynię\n2. Zblenduj\n3. Dopraw","wegetariańska,wegańska"
52,Burrito z fasolą,Wegetariańskie burrito,15,10,2,"1. Przygotuj farsz\n2. Podgrzej tortille\n3. Zawiń","wegetariańska"
53,Sałatka z tuńczykiem,Z jajkiem i kukurydzą,10,0,2,"1. Wymieszaj składniki\n2. Dopraw","wysokobialkowa"
54,Chleb czosnkowy,Chleb z masłem czosnkowym,10,10,4,"1. Przygotuj masło czosnkowie\n2. Posmaruj chleb\n3. Zapiecz","wegetariańska"
55,Mizeria,Klasyczna sałatka z ogórków,5,0,4,"1. Pokrój ogórki\n2. Dodaj śmietanę\n3. Dopraw","wegetariańska"
56,Grzanki francuskie,Tosty z jajkiem i cynamonem,10,10,2,"1. Roztrzep jajka\n2. Zamocz chleb\n3. Smaż","wegetariańska"
57,Socca,Provencalski placek z cieciorki,5,20,2,"1. Wymieszaj mąkę z wodą\n2. Wlej na patelnię\n3. Piecz","wegańska,bezglutenowa"
58,Gulasz warzywny,Z sezonowych warzyw,20,45,6,"1. Podsmaż warzywa\n2. Dodaj pomidory\n3. Duś 30 min","wegańska,wegetariańska"
59,Koktajl proteinowy,Z białkiem serwatkowym,5,0,1,"1. Wsyp proszek\n2. Dodaj mleko\n3. Zmiksuj","wysokobialkowa"
60,Szarlotka,Tradycyjne ciasto z jabłkami,30,60,8,"1. Przygotuj ciasto\n2. Ułóż jabłka\n3. Piecz","wegetariańska"
61,Pasta z awokado i jajkiem,Pasta kanapkowa,10,0,4,"1. Rozgnieć awokado\n2. Dodaj jajka\n3. Wymieszaj","wegetariańska"
62,Zupa szczawiowa,Z jajkiem i ziemniakami,20,30,6,"1. Przygotuj szczaw\n2. Dodaj bulion\n3. Gotuj z ziemniakami","wegetariańska"
63,Batoniki owsiane,Z bakaliami i miodem,15,25,12,"1. Wymieszaj składniki\n2. Piecz\n3. Pokrój","wegetariańska"
64,Kapusta z grochem,Tradycyjna potrawa wigilijna,20,60,6,"1. Ugotuj groch\n2. Dusić kapustę\n3. Wymieszaj","wegańska,wegetariańska"
65,Penne arrabiata,Makaron z ostrym sosem pomidorowym,10,20,3,"1. Ugotuj makaron\n2. Przygotuj sos\n3. Połącz","wegetariańska,wegańska"
66,Sałatka z buraków,Z kozim serem i orzechami,15,0,4,"1. Ugotuj buraki\n2. Pokrój\n3. Wymieszaj z sercem","wegetariańska"
67,Jaglanka na słodko,Owsianka z kaszy jaglanej,5,20,2,"1. Ugotuj kaszę na mleku\n2. Dodaj owoce","wegetariańska"
68,Kurczak satay,Kurczak w sosie orzechowym,20,15,4,"1. Marynuj kurczaka\n2. Usmaż\n3. Podawaj z sosem","wysokobialkowa"
69,Tabbouleh,Libańska sałatka z pietruszką,20,0,4,"1. Przygotuj kaszę\n2. Wymieszaj z warzywami\n3. Polej oliwą","wegańska,wegetariańska"
70,Ciasteczka migdałowe,Bezglutenowe z migdałami,15,15,20,"1. Wymieszaj składniki\n2. Formuj ciasteczka\n3. Piecz","bezglutenowa,wegetariańska"
71,Zupa pho,Wegetariańska wersja wietnamskiej zupy,30,60,4,"1. Przygotuj bulion\n2. Dodaj makaron i warzywa\n3. Podawaj z ziołami","wegańska,wegetariańska"
72,Gofry belgijskie,Chrupiące gofry,20,15,4,"1. Przygotuj ciasto\n2. Piecz w gofrownicy\n3. Podawaj z owocami","wegetariańska"
73,Kopytka,Klasyczne ziemniaczane kluski,30,10,4,"1. Ugotuj ziemniaki\n2. Zrób ciasto\n3. Gotuj w wodzie","wegetariańska"
74,Sałatka z grillowanym kurczakiem,Z warzywami i dressingiem,20,15,2,"1. Grilluj kurczaka\n2. Przygotuj warzywa\n3. Wymieszaj","wysokobialkowa"
75,Krem z pieczarek,Z dodatkiem śmietany,15,25,4,"1. Podsmaż pieczarki\n2. Zblenduj\n3. Dodaj śmietanę","wegetariańska"
76,Bruschetta z pomidorami,Włoska przystawka,10,5,4,"1. Podpiecz chleb\n2. Przygotuj topping\n3. Udekoruj","wegańska,wegetariańska"
77,Dahl z czerwonej soczewicy,Indyjska potrawa z soczewicy,10,30,4,"1. Ugotuj soczewicę\n2. Dodaj przyprawy\n3. Gotuj na krem","wegańska,wegetariańska"
78,Sernik pieczony,Tradycyjny sernik z rodzynkami,30,70,8,"1. Przygotuj masę\n2. Wlej na spód\n3. Piecz","wegetariańska"
79,Gnocchi z sosem pomidorowym,Kluski ziemniaczane,20,10,3,"1. Ugotuj gnocchi\n2. Przygotuj sos\n3. Połącz","wegetariańska"
80,Sałatka z grillowanym łososiem,Z awokado i rukolą,15,10,2,"1. Grilluj łososia\n2. Ułóż sałatkę\n3. Polej dressingiem","bezglutenowa,wysokobialkowa"
81,Krupnik,Zupa z kaszą jęczmienną,20,50,6,"1. Przygotuj bulion\n2. Dodaj kaszę i warzywa\n3. Gotuj","wegetariańska"
82,Pączki,Drożdżowe pączki z nadzieniem,90,15,12,"1. Przygotuj ciasto\n2. Formuj kółka\n3. Smaż\n4. Nadziej","wegetariańska"
83,Tofu scramble,Jajecznica z tofu,10,15,2,"1. Rozdrobnij tofu\n2. Podsmaż z warzywami\n3. Dopraw","wegańska,wegetariańska"
84,Zupa krem z batatów,Z dodatkiem chili,15,25,4,"1. Ugotuj bataty\n2. Zblenduj\n3. Dopraw","wegańska,wegetariańska"
85,Schabowy z ziemniakami,Tradycyjna polska potrawa,20,30,2,"1. Rozbij schab\n2. Panieruj\n3. Smaż","wysokobialkowa"
86,Quiche szpinakowy,Tarta ze szpinakiem i fetą,30,45,6,"1. Przygotuj spód\n2. Wymieszaj farsz\n3. Piecz","wegetariańska"
87,Kaszotto jaglane,Z warzywami i serem,15,25,3,"1. Ugotuj kaszę\n2. Podduś warzywa\n3. Wymieszaj","wegetariańska"
88,Smoothie bowl,Gęsty koktajl w misce,10,0,1,"1. Zmiksuj mrożone owoce\n2. Wlej do miski\n3. Udekoruj","wegańska,wegetariańska"
89,Mięso mielone po meksykańsku,Z kukurydzą i fasolą,15,25,4,"1. Obsmaż mięso\n2. Dodaj warzywa\n3. Duś","wysokobialkowa"
90,Nuggetsy z kalafiora,Wegetariańskie nuggetsy,20,25,4,"1. Przygotuj kalafior\n2. Panieruj\n3. Piecz","wegańska,wegetariańska"
91,Zupa krem z groszku,Z miętą i cytryną,15,20,4,"1. Ugotuj groszek\n2. Zblenduj\n3. Dopraw","wegetariańska,wegańska"
92,Bananowe pancakes,Placki bez mąki,10,15,2,"1. Rozgnieć banany\n2. Dodaj jajka\n3. Smaż","bezglutenowa,wegetariańska"
93,Sałatka z krewetkami i awokado,Z dressingiem cytrynowym,15,0,2,"1. Ugotuj krewetki\n2. Pokrój awokado\n3. Wymieszaj","wysokobialkowa,bezglutenowa"
94,Kurczak w miodzie,Kurczak w słodko-pikantnym sosie,15,30,4,"1. Marynuj kurczaka\n2. Usmaż\n3. Dodaj sos","wysokobialkowa"
95,Lody bananowe,Domowe lody z banana,5,0,2,"1. Zmiksuj mrożone banany\n2. Podawaj","wegańska,wegetariańska"
96,Chłodnik litewski,Zimna zupa buraczana,20,0,4,"1. Ugotuj buraki\n2. Wymieszaj z kefirem\n3. Schłodź","wegetariańska"
97,Szaszłyki z tofu i warzywami,Grillowane szaszłyki,30,15,4,"1. Marynuj tofu\n2. Nadziej na patyczki\n3. Grilluj","wegańska,wegetariańska"
98,Zapiekanka makaronowa,Z serem i szpinakiem,20,30,6,"1. Ugotuj makaron\n2. Wymieszaj składniki\n3. Zapiekaj","wegetariańska"
99,Kotlety mielone,Z ziemniakami i mizerią,25,25,4,"1. Przygotuj masę\n2. Formuj kotlety\n3. Smaż","wysokobialkowa"
100,Tarta owocowa,Z sezonowymi owocami,30,40,8,"1. Przygotuj spód\n2. Ułóż owoce\n3. Piecz","wegetariańska"
101,Burger z soczewicy,Burgery roślinne z czerwonej soczewicy i warzyw,20,25,4,"1. Ugotuj soczewicę\n2. Zblenduj z warzywami i przyprawami\n3. Uformuj kotlety\n4. Usmaż lub upiecz","wegańska,wegetariańska"
102,Omlet z warzywami,Lekki omlet z papryką i szpinakiem,10,10,2,"1. Roztrzep jajka\n2. Dodaj pokrojone warzywa\n3. Wylej na patelnię\n4. Smaż do ścięcia","wegetariańska"
103,Tajskie curry z krewetkami,Pikantne curry z mlekiem kokosowym i krewetkami,15,20,4,"1. Podsmaż pastę curry\n2. Dodaj mleko kokosowe\n3. Wrzuć krewetki i warzywa\n4. Gotuj 10 minut","śródziemnomorska"
104,Kasza jaglana z pieczonymi warzywami,Zdrowa miska pełna smaku,15,30,4,"1. Ugotuj kaszę\n2. Pokrój i upiecz warzywa\n3. Połącz składniki i dodaj oliwę","wegańska,wegetariańska"
105,Krem z brokułów,Gładka zupa krem z brokułów i ziemniaków,10,25,4,"1. Ugotuj warzywa\n2. Zblenduj na gładko\n3. Dopraw solą, pieprzem i śmietaną","wegetariańska"
106,Pieczony łosoś z cytryną,Prosty i zdrowy sposób na rybę,10,20,2,"1. Ułóż łososia w naczyniu\n2. Skrop cytryną i przypraw\n3. Piecz 20 minut w 180°C","śródziemnomorska"
107,Tofu stir-fry,Szybki azjatycki stir-fry z tofu i warzywami,15,15,2,"1. Pokrój tofu i warzywa\n2. Podsmaż tofu\n3. Dodaj warzywa i sos sojowy\n4. Smaż kilka minut","wegańska,wegetariańska"
108,Gulasz wołowy z warzywami,Sycący gulasz z mięsem i ziemniakami,20,90,6,"1. Podsmaż mięso\n2. Dodaj warzywa i przyprawy\n3. Zalej bulionem\n4. Duś do miękkości",""
109,Chili sin carne,Pikantna potrawa z fasolą i papryką,15,40,4,"1. Podsmaż cebulę i czosnek\n2. Dodaj paprykę i przyprawy\n3. Dodaj fasolę i pomidory\n4. Gotuj 30 minut","wegańska,wegetariańska"
110,Placuszki cukiniowe,Chrupiące placuszki z cukinii,15,15,4,"1. Zetrzyj cukinię i odciśnij wodę\n2. Dodaj jajko, mąkę i przyprawy\n3. Smaż na złoto","wegetariańska"
id,title,description,prep_time,cook_time,servings,instructions,diets
111,Mus jabłkowy,Domowy mus z jabłek bez dodatku cukru,10,20,4,"1. Obierz i pokrój jabłka\n2. Duś z odrobiną wody\n3. Zblenduj na gładko","wegańska,wegetariańska"
112,Pieczone bataty z czosnkiem,Słodkie ziemniaki z chrupiącą skórką,10,30,4,"1. Pokrój bataty\n2. Wymieszaj z oliwą i czosnkiem\n3. Piecz 30 minut w 200°C","wegańska,wegetariańska"
113,Lemoniada cytrynowa,Orzeźwiający napój z cytryn i miodu,10,0,4,"1. Wyciśnij sok z cytryn\n2. Wymieszaj z wodą i miodem\n3. Dodaj lód i listki mięty","wegetariańska"
114,Surówka z marchewki i jabłka,Prosta, świeża surówka do obiadu,10,0,4,"1. Zetrzyj marchewkę i jabłko\n2. Dodaj sok z cytryny\n3. Wymieszaj z jogurtem lub oliwą","wegetariańska"
115,Koktajl bananowo-truskawkowy,Szybki i zdrowy koktajl owocowy,5,0,2,"1. Zblenduj banana i truskawki\n2. Dodaj mleko roślinne lub krowie\n3. Zmiksuj na gładko","wegetariańska"
116,Pasta z awokado,Kremowa pasta do chleba z awokado i cytryną,5,0,2,"1. Rozgnieć awokado\n2. Dodaj sok z cytryny i sól\n3. Wymieszaj do kremowej konsystencji","wegańska,wegetariańska"
117,Pieczone jabłka z cynamonem,Deser z jabłek bez cukru,10,25,4,"1. Usuń gniazda nasienne\n2. Posyp cynamonem i dodaj orzechy\n3. Piecz w 180°C przez 25 minut","wegańska,wegetariańska"
118,Zupa krem z dyni,Aksamitna zupa dyniowa na jesień,15,25,4,"1. Podsmaż cebulę\n2. Dodaj pokrojoną dynię i bulion\n3. Gotuj i zblenduj na krem","wegańska,wegetariańska"
119,Tosty z pomidorem i bazylią,Śniadaniowe tosty inspirowane Włochami,5,5,2,"1. Opiecz chleb\n2. Dodaj plasterki pomidora i liście bazylii\n3. Skrop oliwą","wegetariańska,śródziemnomorska"
120,Naleśniki z dżemem,Klasyczne cienkie naleśniki z ulubionym dżemem,15,15,4,"1. Przygotuj ciasto z mleka, jajek i mąki\n2. Smaż cienkie placki\n3. Posmaruj dżemem i zwiń","wegetariańska"
id,title,description,prep_time,cook_time,servings,instructions,diets
121,Placuszki z jabłkami,Delikatne placki z tartym jabłkiem,10,15,4,"1. Zetrzyj jabłka\n2. Dodaj jajka, mąkę i cynamon\n3. Smaż na złoto","wegetariańska"
122,Pieczarki faszerowane serem,Przystawka z pieczarek zapiekanych z serem,15,20,4,"1. Usuń nóżki z pieczarek\n2. Wypełnij środki serem\n3. Piecz 20 minut w 180°C","wegetariańska"
123,Smoothie z mango i bananem,Kremowy napój owocowy,5,0,2,"1. Obierz owoce\n2. Zblenduj z mlekiem kokosowym\n3. Podawaj schłodzone","wegańska,wegetariańska"
124,Kalafior pieczony w przyprawach,Warzywna alternatywa dla mięsa,10,30,4,"1. Podziel kalafiora na różyczki\n2. Wymieszaj z przyprawami i oliwą\n3. Piecz do zrumienienia","wegańska,wegetariańska"
125,Pasta jajeczna,Klasyczna pasta do pieczywa,10,0,4,"1. Ugotuj i posiekaj jajka\n2. Wymieszaj z majonezem i szczypiorkiem\n3. Dopraw do smaku","wegetariańska"
126,Papryka nadziewana ryżem i warzywami,Pełnowartościowe danie bez mięsa,20,40,4,"1. Ugotuj ryż\n2. Pokrój warzywa i wymieszaj z ryżem\n3. Napełnij papryki i piecz","wegańska,wegetariańska"
127,Pureé z marchewki i ziemniaków,Gładki dodatek do obiadu,15,20,4,"1. Ugotuj ziemniaki i marchewkę\n2. Zblenduj z masłem lub oliwą\n3. Dopraw do smaku","wegetariańska"
128,Truskawki z jogurtem i orzechami,Prosty i zdrowy deser,5,0,2,"1. Pokrój truskawki\n2. Wymieszaj z jogurtem\n3. Posyp orzechami","wegetariańska"
129,Zupa krem z cukinii,Lekka zupa warzywna o delikatnym smaku,10,25,4,"1. Podsmaż cebulę i czosnek\n2. Dodaj cukinię i bulion\n3. Gotuj i zblenduj","wegańska,wegetariańska"
130,Racuchy z bananem i cynamonem,Puszyste racuchy bez cukru,10,15,4,"1. Rozgnieć banana\n2. Dodaj jajko i mąkę\n3. Smaż placuszki na złoto","wegetariańska"
